"","First","Last","Nickname","Ht.","Wt.","Reach","Stance","W","L","D","Belt"
"618","Bartosz","Fabinski","The Butcher","6' 0""","170 lbs.","75.0""","Orthodox",15,4,0,NA
"718","Ron","Faircloth","","5' 9""","205 lbs.","--","Orthodox",33,20,0,NA
"818","Jason","Fairn","","6' 1""","230 lbs.","--","",4,5,0,NA
"917","Zarah","Fairn","Infinite","5' 8""","145 lbs.","72.0""","Orthodox",6,4,0,NA
"1017","Rinat","Fakhretdinov","Gladiator","6' 0""","185 lbs.","--","",18,1,0,NA
"1117","Maiquel","Falcao","Big Rig","5' 11""","185 lbs.","--","Orthodox",37,10,0,NA
"1217","Brodie","Farber","","6' 1""","170 lbs.","--","Orthodox",16,7,0,NA
"1317","Joao Paulo","Faria","","5' 9""","155 lbs.","--","",1,1,0,NA
"1417","Kalindra","Faria","","5' 7""","125 lbs.","--","Switch",18,8,1,NA
"1517","Chance","Farrar","","5' 9""","145 lbs.","--","Southpaw",8,3,0,NA
"1617","Rico","Farrington","The Triggerman","6' 4""","170 lbs.","79.0""","Southpaw",7,3,0,NA
"1716","Kelly","Faszholz","","5' 8""","135 lbs.","--","Orthodox",4,2,0,NA
"1815","Rodney","Faverus","","6' 0""","215 lbs.","--","Southpaw",25,20,3,NA
"1915","Paul","Felder","The Irish Dragon","5' 11""","155 lbs.","70.0""","Orthodox",17,6,0,NA
"2015","Carlos","Felipe","Boi","6' 0""","245 lbs.","75.0""","Orthodox",10,1,0,NA
"2115","JP","Felty","","--","170 lbs.","--","",4,5,0,NA
"2215","Kevin","Ferguson","Kimbo Slice","6' 2""","235 lbs.","77.0""","Orthodox",5,2,0,NA
"2315","Rhadi","Ferguson","","5' 7""","205 lbs.","--","",3,0,0,NA
"2415","Tony","Ferguson","El Cucuy","5' 11""","155 lbs.","76.0""","Orthodox",26,5,0,NA
"2514","Josh","Ferguson","Taz","5' 5""","125 lbs.","--","Orthodox",10,5,0,NA
"268","CJ","Fernandes","","6' 2""","170 lbs.","--","",14,8,3,NA
"275","Bibiano","Fernandes","","5' 7""","139 lbs.","--","Orthodox",20,3,0,NA
"285","Alexandre","Ferreira","Cacareco","5' 7""","205 lbs.","--","Orthodox",18,6,0,NA
"295","Cezar","Ferreira","Mutante","6' 1""","185 lbs.","78.0""","Southpaw",13,8,0,NA
"305","Diego","Ferreira","","5' 9""","155 lbs.","74.0""","Orthodox",17,3,0,NA
"319","Scott","Ferrozzo","The Pitbull","5' 11""","323 lbs.","--","Orthodox",4,2,0,NA
"325","Timo","Feucht","","6' 3""","205 lbs.","79.0""","Orthodox",8,1,0,NA
"335","Drew","Fickett","The Master","5' 10""","155 lbs.","70.0""","Orthodox",42,21,0,NA
"345","Scott","Fiedler","","6' 4""","235 lbs.","--","Orthodox",0,1,0,NA
"355","Ron","Fields","Killing","6' 2""","200 lbs.","--","Orthodox",28,32,1,NA
"365","Deiveson","Figueiredo","Deus da Guerra","5' 5""","125 lbs.","68.0""","Orthodox",20,1,1,NA
"375","Francisco","Figueiredo","Sniper","5' 6""","135 lbs.","69.0""","Southpaw",12,3,1,NA
"385","Anthony","Figueroa","","5' 4""","135 lbs.","--","Orthodox",11,8,1,NA
"395","Edwin","Figueroa","El Feroz","5' 7""","135 lbs.","69.0""","Orthodox",9,5,0,NA
"405","Paulo","Filho","","5' 8""","185 lbs.","--","Southpaw",23,6,3,NA
"419","Andre","Fili","Touchy","5' 11""","145 lbs.","74.0""","Orthodox",21,8,0,NA
"425","Mirko","Filipovic","Cro Cop","6' 2""","230 lbs.","73.0""","Southpaw",35,11,2,NA
"435","Brady","Fink","","6' 0""","183 lbs.","--","Orthodox",2,3,0,NA
"445","Jesse","Finney","","6' 0""","170 lbs.","--","",5,1,0,NA
"455","Jan","Finney","Cuddles","5' 8""","135 lbs.","--","Orthodox",11,12,0,NA
"465","Luigi","Fioravanti","","5' 8""","170 lbs.","70.0""","Orthodox",26,15,0,NA
"475","Manon","Fiorot","The Beast","5' 7""","125 lbs.","--","Orthodox",6,1,0,NA
"485","Luiz","Firmino","Buscape","5' 6""","154 lbs.","--","Orthodox",19,8,0,NA
"495","Spencer","Fisher","The King","5' 7""","155 lbs.","68.0""","Southpaw",24,9,0,NA
"505","Chris","Fishgold","","5' 8""","145 lbs.","68.0""","Orthodox",18,4,1,NA
"519","Bryanna","Fissori","","5' 4""","145 lbs.","--","",2,4,0,NA
"525","Jon","Fitch","","6' 0""","170 lbs.","74.0""","Orthodox",30,7,1,NA
"535","Isi","Fitikefu","Doxz","5' 10""","205 lbs.","--","",6,0,0,NA
"545","Rafael","Fiziev","Ataman","5' 8""","155 lbs.","71.0""","Switch",9,1,0,NA
"555","Colin","Fletcher","The Freakshow","6' 2""","155 lbs.","--","Orthodox",14,8,0,NA
"565","Jimmy","Flick","The Brick","5' 7""","125 lbs.","68.0""","Orthodox",16,5,0,NA
"575","Luke","Flores","","6' 0""","155 lbs.","73.0""","Southpaw",9,2,0,NA
"585","Ty","Flores","Big Medicine","6' 3""","205 lbs.","73.0""","Switch",7,3,0,NA
"595","Alejandro","Flores","El Gallito","5' 10""","145 lbs.","73.0""","Orthodox",17,3,0,NA
"605","Kenny","Florian","KenFlo","5' 10""","145 lbs.","74.0""","Southpaw",14,6,0,NA
"619","Cody","Floyd","","--","--","--","",2,0,0,NA
"625","Bobby","Flynn","","--","170 lbs.","--","",6,4,0,NA
"635","Caros","Fodor","The Future","5' 9""","155 lbs.","74.0""","Orthodox",11,6,0,NA
"645","Mal","Foki","Twin Tiger","5' 7""","220 lbs.","--","Orthodox",5,5,0,NA
"655","Matt","Foki","Twin Tiger","5' 7""","220 lbs.","--","Orthodox",5,4,0,NA
"665","AJ","Fonseca","","5' 4""","145 lbs.","--","",5,4,0,NA
"675","Rob","Font","","5' 8""","135 lbs.","71.0""","Orthodox",18,4,0,NA
"685","Claudionor","Fontinelle","","5' 5""","185 lbs.","--","Orthodox",10,15,1,NA
"695","Jesse","Forbes","Kid Hercules","6' 2""","185 lbs.","75.0""","Southpaw",15,5,0,NA
"705","Sterling","Ford","","5' 10""","155 lbs.","--","",15,7,0,NA
"719","Codale","Ford","Crunch Time","5' 9""","170 lbs.","--","",11,9,0,NA
"725","Jussier","Formiga","","5' 5""","125 lbs.","67.0""","Orthodox",23,8,0,NA
"735","Renee","Forte","","5' 7""","155 lbs.","71.0""","Orthodox",8,4,0,NA
"745","Marcel","Fortuna","","6' 1""","205 lbs.","74.0""","Orthodox",9,3,0,NA
"755","Brian","Foster","The Foster Boy","5' 9""","170 lbs.","71.0""","Orthodox",27,10,0,NA
"765","Xavier","Foupa-Pokam","Professor X","6' 1""","185 lbs.","--","Open Stance",32,22,0,NA
"775","Mason","Fowler","","5' 11""","170 lbs.","--","",2,0,0,NA
"785","Brandon","Foxworth","","5' 11""","145 lbs.","--","Orthodox",18,4,0,NA
"795","Hermes","Franca","","5' 6""","155 lbs.","71.0""","Orthodox",24,17,0,NA
"805","Glaico","Franca Moreira","Nego","6' 0""","155 lbs.","77.0""","Orthodox",15,5,0,NA
"819","Francisco","France","Kiko","6' 0""","205 lbs.","--","",13,5,1,NA
"824","John","Franchi","","5' 6""","145 lbs.","67.0""","Orthodox",6,2,0,NA
"834","Rich","Franklin","Ace","6' 1""","185 lbs.","76.0""","Southpaw",29,7,0,NA
"844","Zoila","Frausto","Warrior Princess","5' 4""","135 lbs.","--","Orthodox",13,5,0,NA
"854","Stephanie","Frausto","Lil Bovy","5' 2""","115 lbs.","61.0""","Orthodox",8,7,0,NA
"864","Zane","Frazier","Nasty","6' 5""","250 lbs.","--","Orthodox",4,11,0,NA
"874","Gary","Frazier","","6' 0""","245 lbs.","--","Orthodox",3,3,0,NA
"884","Justin","Frazier","The Grizzly Bear","6' 0""","265 lbs.","75.0""","Southpaw",10,3,0,NA
"894","Ian","Freeman","The Machine","5' 11""","225 lbs.","--","Orthodox",20,7,1,NA
"904","Jason","Freeman","","6' 2""","225 lbs.","--","",6,4,0,NA
"918","Willamy","Freire","Chiquerim","5' 8""","155 lbs.","--","",26,6,0,NA
"924","Patricio","Freire","Pitbull","5' 5""","145 lbs.","65.0""","",26,4,0,NA
"934","Patricky","Freire","Pitbull","5' 7""","155 lbs.","71.0""","",17,8,0,NA
"944","Jeremy","Freitag","","6' 1""","205 lbs.","--","",6,10,0,NA
"954","Rafael","Freitas","Capoeira","--","205 lbs.","--","Orthodox",3,6,0,NA
"964","Donavon","Frelow","","5' 7""","135 lbs.","--","Orthodox",6,3,0,NA
"974","Clay","French","","5' 7""","161 lbs.","--","Southpaw",19,7,0,NA
"984","Mike","French","","5' 10""","145 lbs.","--","",9,10,0,NA
"994","Matt","Frevola","The SteamRolla","5' 9""","155 lbs.","71.0""","Orthodox",8,2,1,NA
"1004","Jinh Yu","Frey","","5' 3""","115 lbs.","65.0""","Southpaw",9,6,0,NA
"1018","Artem","Frolov","","5' 10""","185 lbs.","--","",11,0,0,NA
"1024","Sarah","Frota","A Treta","5' 6""","125 lbs.","69.0""","Southpaw",9,2,0,NA
"1034","Don","Frye","The Predator","6' 1""","219 lbs.","--","Orthodox",20,9,1,NA
"1044","Tony","Fryklund","The Freak","6' 0""","185 lbs.","--","Orthodox",14,9,1,NA
"1054","Jesse","Fujarczyk","The Ronin","6' 4""","225 lbs.","--","Southpaw",2,2,0,NA
"1064","Katsuhisa","Fujii","Shamoji","6' 0""","205 lbs.","--","Orthodox",9,18,1,NA
"1074","Megumi","Fujii","Mega Megu","5' 3""","113 lbs.","--","",26,3,0,NA
"1084","Kazuyuki","Fujita","Ironhead","6' 0""","235 lbs.","--","Orthodox",15,12,0,NA
"1094","Keisuke","Fujiwara","","5' 6""","139 lbs.","--","Switch",17,12,5,NA
"1104","Riki","Fukuda","","6' 0""","185 lbs.","73.0""","Southpaw",24,9,0,NA
"1118","Masio","Fullen","Lobo","5' 10""","145 lbs.","70.0""","Orthodox",11,7,0,NA
"1124","Travis","Fulton","The Ironman","6' 0""","240 lbs.","--","Orthodox",253,53,10,NA
"1134","Sam","Fulton","","--","--","--","",0,2,0,NA
"1144","Masakatsu","Funaki","","6' 0""","185 lbs.","--","Southpaw",39,13,2,NA
"1154","Ricardo","Funch","Golden Boy","5' 10""","170 lbs.","74.0""","Southpaw",9,6,0,NA
"1164","Katsuaki","Furuki","","6' 0""","168 lbs.","--","",1,1,0,NA
"269","James","Gabert","","--","178 lbs.","--","",6,4,0,NA
"320","Gustavo","Gabriel","","5' 6""","125 lbs.","--","Orthodox",13,1,0,NA
"420","Claudia","Gadelha","Claudinha","5' 4""","115 lbs.","63.0""","Orthodox",18,5,0,NA
"520","Alavutdin","Gadjiev","","6' 2""","185 lbs.","--","Orthodox",18,13,1,NA
"620","Justin","Gaethje","The Highlight","5' 11""","155 lbs.","70.0""","Orthodox",22,3,0,NA
"720","Sheila","Gaff","The German Tank","5' 5""","135 lbs.","--","Orthodox",9,7,0,NA
"820","Muin","Gafurov","Tajik","5' 7""","135 lbs.","--","",16,2,0,NA
"919","Mitch","Gagnon","","5' 5""","135 lbs.","65.0""","Southpaw",12,5,0,NA
"1019","Brandon","Gaines","","6' 3""","185 lbs.","--","",5,21,0,NA
"1119","Travis","Galbraith","The Gladiator","6' 0""","170 lbs.","--","Orthodox",18,7,0,NA
"1218","Dave","Galera","Scarecrow","5' 11""","135 lbs.","--","Orthodox",5,1,0,NA
"1318","Zelg","Galesic","Benkei","6' 2""","185 lbs.","--","Orthodox",11,9,0,NA
"1418","Mickey","Gall","","6' 2""","170 lbs.","74.0""","Switch",6,3,0,NA
"1518","Daniel","Gallemore","Big Kansas","6' 5""","265 lbs.","--","",7,3,0,NA
"1618","Tom","Gallicchio","Da Tank","5' 10""","170 lbs.","--","Southpaw",19,10,0,NA
"1717","Turrell","Galloway","","5' 3""","145 lbs.","--","",8,6,0,NA
"1816","Eric","Galvan","","--","155 lbs.","--","",0,0,0,NA
"1916","Andre","Galvao","","5' 7""","168 lbs.","--","Orthodox",5,2,0,NA
"2016","Marcos","Galvao","Loro","5' 7""","135 lbs.","--","Orthodox",18,8,1,NA
"2116","Lucas","Gamaza","","--","170 lbs.","--","",8,4,0,NA
"2216","Joey","Gambino","The Raging Warrior","5' 7""","145 lbs.","--","Orthodox",9,2,0,NA
"2316","Manvel","Gamburyan","The Anvil","5' 5""","135 lbs.","67.0""","Orthodox",15,10,0,NA
"2416","Mateusz","Gamrot","Gamer","5' 10""","155 lbs.","70.0""","Southpaw",17,1,0,NA
"2515","Shamil","Gamzatov","","6' 2""","205 lbs.","76.0""","Orthodox",14,0,0,NA
"2610","Ariel","Gandulla","","5' 11""","205 lbs.","--","Orthodox",7,9,0,NA
"276","Ciryl","Gane","Bon Gamin","6' 4""","245 lbs.","81.0""","Orthodox",8,0,0,NA
"286","Sean","Gannon","The Cannon","6' 3""","265 lbs.","--","Southpaw",2,1,0,NA
"296","Eduardo","Garagorri","","5' 9""","145 lbs.","70.0""","Orthodox",13,2,0,NA
"306","Cody","Garbrandt","No Love","5' 8""","135 lbs.","65.0""","Orthodox",12,3,0,NA
"3110","Leonard","Garcia","Bad Boy","5' 10""","145 lbs.","68.0""","Orthodox",18,13,1,NA
"326","Edgar","Garcia","","5' 10""","170 lbs.","71.0""","Orthodox",14,5,0,NA
"336","Alejandro","Garcia","Alex","5' 7""","145 lbs.","--","",14,10,0,NA
"346","Alex","Garcia","The Dominican Nightmare","5' 9""","170 lbs.","72.0""","Orthodox",15,6,0,NA
"356","Nick","Garcia","Nitro","5' 4""","125 lbs.","--","",8,3,0,NA
"366","Steve","Garcia","Mean Machine","6' 0""","155 lbs.","75.0""","Southpaw",11,4,0,NA
"376","Elias","Garcia","","5' 5""","125 lbs.","67.0""","Southpaw",6,2,0,NA
"386","Rafa","Garcia","Gifted","5' 7""","155 lbs.","70.0""","Orthodox",12,0,0,NA
"396","Rulon","Gardner","","6' 3""","265 lbs.","--","Orthodox",1,0,0,NA
"406","David","Gardner","","5' 11""","155 lbs.","--","Orthodox",18,21,0,NA
"4110","Pablo","Garza","The Scarecrow","6' 1""","145 lbs.","73.0""","Orthodox",12,4,0,NA
"426","Azamat","Gashimov","","5' 6""","125 lbs.","--","Orthodox",8,3,0,NA
"436","Brian","Gassaway","","6' 1""","170 lbs.","--","Orthodox",29,20,2,NA
"446","Kelvin","Gastelum","","5' 9""","185 lbs.","71.0""","Southpaw",17,6,0,NA
"456","Willie","Gates","","5' 8""","125 lbs.","72.0""","Orthodox",12,7,0,NA
"466","Melissa","Gatto","","5' 5""","135 lbs.","--","Orthodox",6,0,2,NA
"476","Louis","Gaudinot","Goodnight","5' 3""","125 lbs.","63.0""","Orthodox",8,4,0,NA
"486","Charlene","Gellner","Princess","5' 2""","125 lbs.","--","",0,4,0,NA
"496","Chad","George","Savage","5' 6""","135 lbs.","68.0""","Southpaw",16,8,0,NA
"506","Paul","Georgieff","","6' 2""","170 lbs.","--","Orthodox",6,2,0,NA
"5110","Brian","Geraghty","Duke","5' 7""","155 lbs.","--","Orthodox",26,18,1,NA
"526","Derek","Getzel","The Pretzel","6' 0""","155 lbs.","--","",8,5,0,NA
"536","Karine","Gevorgyan","The Princess","5' 4""","125 lbs.","63.0""","",3,3,0,NA
"546","Darrel","Gholar","","5' 8""","194 lbs.","--","Orthodox",5,6,0,NA
"556","Tiki","Ghosn","","5' 10""","170 lbs.","--","Orthodox",10,7,1,NA
"566","Christos","Giagos","The Spartan","5' 10""","155 lbs.","71.0""","Orthodox",18,8,0,NA
"576","Joe","Giannetti","","6' 0""","155 lbs.","74.0""","Southpaw",6,1,0,NA
"586","Nick","Gibbons","","5' 10""","155 lbs.","--","",2,1,0,NA
"596","James","Giboo","","5' 11""","170 lbs.","--","Orthodox",13,5,0,NA
"606","Lance","Gibson","Fearless","5' 9""","185 lbs.","--","Orthodox",4,5,0,NA
"6110","Lee","Gibson","Lethal","5' 7""","155 lbs.","--","",12,4,0,NA
"626","Cody","Gibson","The Renegade","5' 10""","135 lbs.","71.0""","Orthodox",15,7,0,NA
"636","Chase","Gibson","El Guero","5' 10""","155 lbs.","72.0""","Orthodox",9,5,0,NA
"646","Kenny","Giddens","","5' 11""","155 lbs.","--","",12,7,0,NA
"656","Thomas","Gifford","The Young Lion","6' 1""","155 lbs.","75.0""","Orthodox",14,9,0,NA
"666","Joseph","Gigliotti","Capo","5' 11""","185 lbs.","--","Orthodox",7,2,0,NA
"676","Joey","Gilbert","","5' 11""","155 lbs.","--","Orthodox",2,3,0,NA
"686","Trevin","Giles","","6' 0""","185 lbs.","74.0""","Orthodox",13,2,0,NA
"696","Kultar","Gill","Black Mamba","6' 0""","154 lbs.","--","Orthodox",12,8,0,NA
"706","Jesse","Gillespie","","--","185 lbs.","--","",3,2,0,NA
"7110","Gregor","Gillespie","The Gift","5' 7""","155 lbs.","71.0""","Orthodox",13,1,0,NA
"726","Jason","Gilliam","","6' 0""","170 lbs.","--","Orthodox",14,9,0,NA
"736","Krishaun","Gilmore","","--","--","--","",0,1,0,NA
"746","Alex","Gilpin","","5' 7""","145 lbs.","--","Orthodox",11,1,0,NA
"756","Bob","Gilstrap","","6' 3""","200 lbs.","--","Orthodox",5,7,0,NA
"766","Demetrius","Gioulacos","","5' 11""","185 lbs.","--","",0,1,0,NA
"776","Billy","Giovanella","Wolverine","5' 8""","125 lbs.","--","",9,5,0,NA
"786","He-Man","Gipson","","--","--","--","",1,2,0,NA
"796","Israel","Giron","El Rojo","5' 8""","155 lbs.","--","",19,5,0,NA
"806","Brandon","Girtz","Cold Roll","5' 7""","155 lbs.","--","",14,7,0,NA
"8110","Jason","Glaza","","6' 0""","230 lbs.","--","",3,2,0,NA
"825","Mike","Glenn","","--","205 lbs.","--","",5,6,0,NA
"835","Rick","Glenn","The Gladiator","6' 0""","145 lbs.","70.0""","Southpaw",21,6,1,NA
"845","Mark","Godbeer","The Hand Of","6' 4""","240 lbs.","77.0""","Orthodox",13,4,0,NA
"855","Clint","Godfrey","","5' 6""","135 lbs.","--","Southpaw",13,3,0,NA
"865","Jason","Godsey","","6' 2""","230 lbs.","--","Orthodox",16,16,0,NA
"875","Allan","Goes","","6' 0""","205 lbs.","--","Orthodox",10,5,2,NA
"885","Jonny","Goh","","5' 11""","155 lbs.","--","",3,4,0,NA
"895","Hannah","Goldy","24K","5' 4""","125 lbs.","61.0""","Orthodox",5,1,0,NA
"905","Marcelo","Golm","","6' 3""","249 lbs.","75.0""","Orthodox",6,3,0,NA
"9110","Sergio","Gomez","","5' 6""","155 lbs.","--","Orthodox",10,3,0,NA
"925","Frank","Gomez","","5' 10""","135 lbs.","67.0""","Orthodox",10,6,0,NA
"935","Alan","Gomez","","--","155 lbs.","--","",2,0,0,NA
"945","David","Gomez","","--","155 lbs.","--","",1,2,0,NA
"955","Ulysses","Gomez","Useless","5' 6""","125 lbs.","--","Orthodox",9,5,0,NA
"965","Joey","Gomez","KO King","5' 10""","135 lbs.","73.0""","Orthodox",6,2,0,NA
"975","Luis","Gomez","Tiger Junior","5' 7""","145 lbs.","68.0""","Orthodox",4,1,0,NA
"985","Joey","Gomez","","5' 10""","155 lbs.","71.0""","Orthodox",7,1,0,NA
"995","Edson","Gomez","","5' 8""","170 lbs.","69.0""","Switch",6,2,0,NA
"1005","Silvana","Gomez Juarez","La Malvada","5' 3""","125 lbs.","--","Orthodox",6,2,0,NA
"10110","Takanori","Gomi","The Fireball Kid","5' 7""","155 lbs.","70.0""","Southpaw",35,14,0,NA
"1025","Akihiro","Gono","","5' 7""","170 lbs.","68.0""","Switch",35,21,8,NA
"1035","Gabriel","Gonzaga","Napao","6' 2""","242 lbs.","76.0""","Orthodox",17,11,0,NA
"1045","Justin","Gonzales","J-Train","5' 9""","145 lbs.","72.0""","Orthodox",6,0,0,NA
"1055","Fernando","Gonzalez","The Menifee Maniac","5' 9""","170 lbs.","68.0""","Southpaw",26,14,0,NA
"1065","Nick","Gonzalez","The Ghost","5' 6""","155 lbs.","--","Orthodox",17,12,0,NA
"1075","Fabian","Gonzalez","","5' 10""","135 lbs.","--","",2,1,0,NA
"1085","Lewis","Gonzalez","Lethal","5' 10""","170 lbs.","--","Orthodox",11,3,0,NA
"1095","Jason","Gonzalez","Nicoya","6' 2""","155 lbs.","74.0""","Southpaw",11,5,0,NA
"1105","Pearl","Gonzalez","","5' 4""","115 lbs.","--","Orthodox",6,3,0,NA
"11110","Jorge","Gonzalez","Street","6' 2""","205 lbs.","76.0""","Orthodox",16,4,0,NA
"1125","Mikey","Gonzalez","Rolls","5' 11""","155 lbs.","74.0""","Orthodox",7,2,0,NA
"1135","Kier","Gooch","","--","155 lbs.","--","",2,7,0,NA
"1145","Lyman","Good","Cyborg","6' 0""","170 lbs.","74.0""","Orthodox",21,6,0,NA
"1155","Jared","Gooden","NiteTrain","6' 0""","170 lbs.","77.0""","Orthodox",17,5,0,NA
"1165","Gary","Goodridge","Big Daddy","6' 3""","249 lbs.","--","Orthodox",23,22,1,NA
"1174","Jordan","Goodwin","","--","155 lbs.","--","",0,0,0,NA
"1184","Gerard","Gordeau","","6' 5""","216 lbs.","--","Orthodox",2,2,0,NA
"1194","Eddie","Gordon","Truck","6' 0""","185 lbs.","76.0""","Orthodox",8,4,0,NA
"1204","Jared","Gordon","Flash","5' 9""","145 lbs.","68.0""","Orthodox",17,4,0,NA
"1219","Tebaris","Gordon","Boom","6' 1""","265 lbs.","--","Orthodox",3,1,0,NA
"1224","Malcolm","Gordon","X","5' 7""","125 lbs.","71.0""","Switch",12,5,0,NA
"1234","Alex","Gorgees","Hitman","6' 2""","155 lbs.","74.0""","Switch",6,1,0,NA
"1244","Tim","Gorman","The Psycho","5' 5""","135 lbs.","--","Southpaw",9,4,0,NA
"1254","Chase","Gormley","","6' 3""","265 lbs.","--","Orthodox",14,6,0,NA
"1264","Jonathan","Goulet","The Road Warrior","6' 0""","170 lbs.","73.0""","Orthodox",23,12,0,NA
"1274","Thibault","Gouti","GT","5' 10""","155 lbs.","72.0""","Orthodox",12,5,0,NA
"1284","Wilson","Gouveia","","6' 1""","185 lbs.","76.0""","Orthodox",14,8,0,NA
"1294","Todd","Gouwenberg","","6' 1""","205 lbs.","--","Orthodox",9,5,0,NA
"1304","Hugo","Govea","","--","--","--","",0,1,0,NA
"1319","Justin","Governale","The Therapist","--","145 lbs.","--","",5,5,0,NA
"1324","Damian","Grabowski","The Polish Pitbull","6' 1""","241 lbs.","75.0""","Orthodox",20,5,0,NA
"1334","Royce","Gracie","","6' 1""","175 lbs.","--","Southpaw",15,2,3,NA
"1344","Crosley","Gracie","","5' 9""","190 lbs.","--","Orthodox",2,2,0,NA
"1354","Daniel","Gracie","","6' 2""","225 lbs.","--","Orthodox",5,4,1,NA
"1364","Ralph","Gracie","","5' 9""","183 lbs.","--","Orthodox",6,1,0,NA
"1374","Renzo","Gracie","","5' 10""","185 lbs.","--","Orthodox",13,7,1,NA
"1384","Rickson","Gracie","","5' 10""","185 lbs.","--","Switch",11,0,0,NA
"1394","Rodrigo","Gracie","","6' 0""","183 lbs.","--","Orthodox",6,2,1,NA
"1404","Royler","Gracie","","5' 8""","150 lbs.","--","Southpaw",5,5,1,NA
"1419","Ryan","Gracie","","5' 9""","200 lbs.","--","Orthodox",5,2,0,NA
"1424","Ralek","Gracie","","6' 2""","210 lbs.","--","Orthodox",3,1,0,NA
"1434","Rolles","Gracie","","6' 4""","242 lbs.","--","Orthodox",8,4,0,NA
"1444","Cesar","Gracie","","5' 10""","181 lbs.","--","Orthodox",0,1,0,NA
"1454","Roger","Gracie","","6' 4""","185 lbs.","79.0""","Orthodox",8,2,0,NA
"1464","Igor","Gracie","","5' 11""","170 lbs.","--","",5,4,0,NA
"1474","Neiman","Gracie","","6' 0""","170 lbs.","--","",6,0,0,NA
"1484","Kron","Gracie","","5' 9""","145 lbs.","70.0""","Southpaw",5,1,0,NA
"1494","Steven","Graham","","6' 1""","290 lbs.","--","Orthodox",2,1,0,NA
"1504","Scott","Graham","","6' 4""","185 lbs.","--","Orthodox",3,1,0,NA
"1519","Miranda","Granger","Danger","5' 7""","125 lbs.","68.0""","Orthodox",7,2,0,NA
"1524","TJ","Grant","","5' 10""","155 lbs.","72.0""","Orthodox",21,5,0,NA
"1534","Davey","Grant","Dangerous","5' 8""","135 lbs.","69.0""","Orthodox",12,4,0,NA
"1544","Dwight","Grant","The Body Snatcher","6' 1""","170 lbs.","76.0""","Switch",10,3,0,NA
"1554","Alexa","Grasso","","5' 5""","125 lbs.","66.0""","Orthodox",13,3,0,NA
"1564","Tony","Gravely","","5' 5""","135 lbs.","69.0""","Orthodox",20,6,0,NA
"1574","Michael","Graves","","5' 10""","170 lbs.","71.0""","Orthodox",6,0,1,NA
"1584","Shelton","Graves","The Gravedigger","6' 2""","255 lbs.","76.0""","Southpaw",7,3,0,NA
"1594","James","Gray","The Phenom","5' 9""","135 lbs.","--","Orthodox",4,1,0,NA
"1604","Kevin","Gray","Pocket Herc","5' 4""","125 lbs.","67.0""","Orthodox",9,4,0,NA
"1619","Sam","Greco","","6' 2""","205 lbs.","--","Orthodox",3,1,1,NA
"1624","Bobby","Green","King","5' 10""","155 lbs.","71.0""","Orthodox",27,11,1,NA
"1634","Desmond","Green","The Predator","5' 10""","155 lbs.","73.0""","Southpaw",23,8,0,NA
"1644","Gabe","Green","Gifted","5' 10""","170 lbs.","73.0""","Switch",10,3,0,NA
"1654","Maurice","Greene","The Crochet Boss","6' 7""","258 lbs.","80.0""","Orthodox",9,6,0,NA
"1664","Matt","Grice","The Real One","5' 8""","145 lbs.","70.0""","Orthodox",15,5,0,NA
"1674","Forrest","Griffin","","6' 3""","205 lbs.","77.0""","Orthodox",19,7,0,NA
"1684","Tyson","Griffin","","5' 6""","145 lbs.","68.0""","Orthodox",16,8,0,NA
"1693","Max","Griffin","Pain","5' 11""","170 lbs.","76.0""","Orthodox",16,8,0,NA
"1703","Jordan","Griffin","Native Psycho","5' 10""","145 lbs.","73.0""","Southpaw",18,8,0,NA
"1718","Chad","Griggs","The Grave Digger","6' 1""","205 lbs.","73.0""","Orthodox",11,3,0,NA
"1723","Chuck","Grigsby","The Reverend","6' 6""","205 lbs.","--","Orthodox",23,10,0,NA
"1733","Rodrigo","Gripp de Sousa","Riscado","5' 11""","205 lbs.","--","Orthodox",7,9,0,NA
"1743","Maxim","Grishin","Maximus","6' 3""","220 lbs.","78.0""","Orthodox",31,9,2,NA
"1753","Josh","Grispi","The Fluke","5' 11""","145 lbs.","74.0""","Orthodox",14,5,0,NA
"1763","Garrett","Gross","","5' 9""","155 lbs.","--","Orthodox",11,7,0,NA
"1772","Kendall","Grove","Da Spyder","6' 6""","185 lbs.","79.0""","Orthodox",23,17,0,NA
"1782","Neil","Grove","Goliath","6' 6""","265 lbs.","--","Orthodox",12,8,1,NA
"1792","Chris","Gruetzemacher","Gritz","5' 8""","155 lbs.","68.0""","Orthodox",14,4,0,NA
"1802","Vik","Grujic","The Spartan","5' 11""","170 lbs.","73.0""","Orthodox",6,6,0,NA
"1817","Mike","Grundy","","5' 7""","145 lbs.","72.0""","Orthodox",12,2,0,NA
"1822","Wang","Guan","The Dongbei Tiger","5' 9""","145 lbs.","71.0""","Orthodox",20,1,1,NA
"1832","Nandor","Guelmino","The Hun","6' 3""","230 lbs.","--","",11,5,1,NA
"1842","Fabricio","Guerreiro","","5' 10""","145 lbs.","--","",21,5,0,NA
"1852","Shannon","Gugerty","","5' 10""","155 lbs.","71.0""","Orthodox",15,7,0,NA
"1862","Clay","Guida","The Carpenter","5' 7""","155 lbs.","70.0""","Orthodox",36,17,0,NA
"1872","Jason","Guida","","5' 10""","214 lbs.","--","",19,28,0,NA
